id,year,q01_happy,q02_satisfied_general,q03_satisfied_somerville,q04_satisfied_neighborhood,q06a_city_services,q06b_cost_housing,q06c_quality_schools,q06d_trust_police,q06e_sidewalks,q06f_events,q09_safe_at_night,q11_beauty,q10_parks,d01_gender,d02_age,d04_race,d05_num_children,d06_housing_status,d07_plan_to_move,d10_how_long_lived_here,d08_hhi,d09_is_student,d13_ward,q05_city_direction,q07_safe_crossing_street,q08_convenient,q12_housing_condition,move_why,d11_transportation_mode,d12_transportation_month,d03_language
7391,2019,10.0,10.0,10.0,10.0,5.0,4.0,4.0,5.0,4.0,4.0,8.0,10.0,10.0,Female,70,White,No,Own,No,51 years,"$25,000 to $49,999",No,4.0,Right direction,6.0,5.0,9.0,,Car,Car,English
7392,2019,7.0,7.0,9.0,8.0,4.0,2.0,,4.0,3.0,5.0,8.0,8.0,9.0,Female,64,White,No,Own,No,10 years,"$10,000 to $24,999",No,6.0,Not sure,9.0,8.0,6.0,,"Walk, Car","Walk, Car",English
7393,2019,9.0,9.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,3.0,7.0,6.0,7.0,Male,70,White,Yes,Own,No,20 years,"$50,000 to 74,999",No,7.0,Wrong track,2.0,1.0,9.0,,Car,"Walk, Car",English
7394,2019,10.0,9.0,9.0,8.0,5.0,5.0,5.0,5.0,3.0,4.0,9.0,8.0,8.0,Male,58,White,No,Own,Yes,3 years,"$75,000 to $99,999",No,3.0,Right direction,5.0,7.0,9.0,Family reasons,Walk,"Walk, Public transit, Car",English
7395,2019,8.0,8.0,7.0,7.0,5.0,3.0,4.0,5.0,1.0,4.0,9.0,6.0,9.0,Female,58,Asian,No,Own,No,2 years,"$75,000 to $99,999",No,4.0,Not sure,7.0,9.0,8.0,,Car,"Walk, Public transit, Car",Chinese
7396,2019,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,Male,65,White,No,Rent,No,65 years,"$25,000 to $49,999",No,6.0,Right direction,10.0,10.0,10.0,,Public transit,Public transit,English
7397,2019,9.0,10.0,9.0,9.0,5.0,4.0,4.0,4.0,5.0,4.0,10.0,9.0,9.0,Female,75,White,No,Own,No,25 years,"$100,000 to $149,999",No,7.0,Right direction,10.0,9.0,10.0,,"Bike, Car","Public transit, Car",English
7398,2019,9.0,9.0,7.0,8.0,5.0,2.0,4.0,4.0,3.0,5.0,9.0,4.0,7.0,Male,49,White,No,Own,No,19 years,"$200,000 or more",No,6.0,Right direction,7.0,9.0,9.0,,Walk,"Walk, Bike, Public transit, Car",English
7399,2019,9.0,8.0,10.0,8.0,4.0,2.0,,4.0,5.0,4.0,6.0,7.0,8.0,Female,26,"Hispanic/Latino, White",No,Rent,Yes,4 years,"$100,000 to $149,999",No,3.0,Right direction,7.0,7.0,7.0,Pursuing higher education,"Walk, Public transit","Walk, Public transit, Car",English
7400,2019,7.0,8.0,6.0,7.0,4.0,1.0,3.0,4.0,2.0,4.0,7.0,6.0,4.0,Male,74,White,No,Rent,No,74 years,"$25,000 to $49,999",No,3.0,Wrong track,5.0,7.0,6.0,,Public transit,"Walk, Public transit",English
7401,2019,8.0,8.0,7.0,7.0,4.0,2.0,3.0,4.0,4.0,4.0,6.0,5.0,6.0,Female,32,White,No,Rent,,6 years,"$50,000 to 74,999",No,1.0,Not sure,9.0,8.0,7.0,"To buy/affordability elsewhere (Respondent wrote ""not sure"")",Car,"Walk, Public transit, Car",English
7402,2019,7.0,7.0,8.0,8.0,4.0,3.0,3.0,3.0,3.0,4.0,8.0,6.0,6.0,Female,61,White,No,Own,No,3 years,"$150,000 to 200,000",No,7.0,Right direction,5.0,9.0,8.0,,Public transit,"Walk, Public transit, Car",English
7403,2019,10.0,10.0,10.0,8.0,5.0,5.0,5.0,5.0,1.0,4.0,10.0,7.0,8.0,Male,55,White,Yes,Own,No,33 years,"$200,000 or more",No,4.0,Right direction,10.0,10.0,10.0,,Car,Public transit,"English, Portuguese"
7404,2019,8.0,9.0,7.0,9.0,5.0,3.0,3.0,4.0,3.0,5.0,9.0,9.0,8.0,Female,36,White,No,Own,No,7 years,"$200,000 or more",No,5.0,Not sure,6.0,5.0,9.0,,Bike,"Walk, Bike, Public transit, Car",English
7405,2019,8.0,9.0,9.0,9.0,3.0,4.0,4.0,4.0,5.0,5.0,9.0,9.0,10.0,Female,31,White,No,Rent,Yes,2 years,,No,6.0,Right direction,9.0,9.0,9.0,Easier commute to work,"Bike, Public transit","Walk, Bike, Public transit, Car",English
7406,2019,8.0,9.0,8.0,8.0,4.0,1.0,2.0,3.0,1.0,2.0,9.0,4.0,4.0,Female,,,No,Own,No,23 years,"$100,000 to $149,999",No,2.0,Not sure,2.0,1.0,8.0,,Public transit,"Walk, Bike, Public transit, Car",
