demo,count
hhi_1,3059
hhi_2,7307
hhi_3,8132
hhi_4,9511
hhi_5,10430
hhi_6,15904
hhi_7,9820
hhi_8,10833
gender_Male,37312
gender_Female,37312
gender_Nonbinary,375
"race_ethnicity_(aa, hispanic)",418
"race_ethnicity_(aa, non-hispanic)",4203
"race_ethnicity_(asian, hispanic)",52
"race_ethnicity_(asian, non-hispanic)",7644
"race_ethnicity_(other, hispanic)",1900
"race_ethnicity_(other, non-hispanic)",770
"race_ethnicity_(two_or_more, hispanic)",1227
"race_ethnicity_(two_or_more, non-hispanic)",1962
"race_ethnicity_(white, hispanic)",5666
"race_ethnicity_(white, non-hispanic)",51154
age_18 to 24 Years,12005
age_25 to 34 Years,28048
age_35 to 44 Years,12139
age_45 to 54 Years,7414
age_65 to 74 Years,4351
age_75 Years & Over,3258
age_17 Years,534
age_55 to 64 Years,7249
