,id,gender,age,hhi,ethnicity,race
0,7391,Female,65 to 74 Years,3,non-hispanic,white
1,7392,Female,55 to 64 Years,2,non-hispanic,white
2,7393,Male,65 to 74 Years,4,non-hispanic,white
3,7394,Male,55 to 64 Years,5,non-hispanic,white
4,7395,Female,55 to 64 Years,5,non-hispanic,asian
5,7396,Male,65 to 74 Years,3,non-hispanic,white
6,7397,Female,75 Years & Over,6,non-hispanic,white
7,7398,Male,45 to 54 Years,8,non-hispanic,white
8,7399,Female,25 to 34 Years,6,hispanic,white
9,7400,Male,65 to 74 Years,3,non-hispanic,white
10,7401,Female,25 to 34 Years,4,non-hispanic,white
11,7402,Female,55 to 64 Years,7,non-hispanic,white
12,7403,Male,55 to 64 Years,8,non-hispanic,white
13,7404,Female,35 to 44 Years,8,non-hispanic,white
14,7405,Female,25 to 34 Years,,non-hispanic,white
15,7406,Female,75 Years & Over,6,,
16,7407,Male,75 Years & Over,6,non-hispanic,white
17,7408,Female,35 to 44 Years,3,non-hispanic,white
18,7409,Female,25 to 34 Years,8,non-hispanic,white
19,7410,Female,25 to 34 Years,5,non-hispanic,white
20,7411,Female,55 to 64 Years,5,non-hispanic,white
21,7412,Male,25 to 34 Years,8,non-hispanic,asian
22,7413,Female,25 to 34 Years,5,non-hispanic,white
23,7414,Female,25 to 34 Years,7,non-hispanic,white
24,7415,Male,55 to 64 Years,7,non-hispanic,white
25,7416,,75 Years & Over,6,,
26,7417,Female,65 to 74 Years,4,non-hispanic,white
27,7418,Female,25 to 34 Years,4,non-hispanic,white
28,7419,Male,65 to 74 Years,6,non-hispanic,white
29,7420,Female,18 to 24 Years,7,non-hispanic,white
30,7421,Male,55 to 64 Years,7,non-hispanic,two_or_more
31,7422,Male,35 to 44 Years,2,non-hispanic,white
32,7423,Male,25 to 34 Years,6,non-hispanic,white
33,7424,Male,65 to 74 Years,,non-hispanic,white
34,7425,Female,45 to 54 Years,8,non-hispanic,white
35,7426,Male,18 to 24 Years,5,non-hispanic,white
36,7427,Female,25 to 34 Years,5,non-hispanic,white
37,7428,Female,75 Years & Over,2,non-hispanic,aa
38,7429,Female,65 to 74 Years,2,non-hispanic,white
39,7430,Male,25 to 34 Years,8,non-hispanic,white
40,7431,Female,55 to 64 Years,7,non-hispanic,white
41,7432,Female,25 to 34 Years,6,non-hispanic,white
42,7433,Female,35 to 44 Years,5,,
43,7434,Female,55 to 64 Years,6,non-hispanic,white
44,7435,Male,65 to 74 Years,3,hispanic,
45,7436,Female,65 to 74 Years,3,non-hispanic,white
46,7437,Female,65 to 74 Years,3,non-hispanic,white
47,7438,Female,65 to 74 Years,4,non-hispanic,white
48,7439,Male,65 to 74 Years,5,non-hispanic,white
49,7440,Female,55 to 64 Years,6,non-hispanic,white
50,7441,Female,55 to 64 Years,6,non-hispanic,white
51,7442,Male,65 to 74 Years,4,non-hispanic,white
52,7443,Male,25 to 34 Years,5,non-hispanic,white
53,7444,Male,35 to 44 Years,7,non-hispanic,white
54,7445,Female,55 to 64 Years,6,hispanic,
55,7446,Female,35 to 44 Years,3,non-hispanic,white
56,7447,Nonbinary,25 to 34 Years,6,non-hispanic,white
57,7448,Male,25 to 34 Years,4,non-hispanic,white
58,7449,Female,55 to 64 Years,,non-hispanic,white
59,7450,Female,25 to 34 Years,6,non-hispanic,two_or_more
60,7451,Male,35 to 44 Years,7,non-hispanic,white
61,7452,Female,35 to 44 Years,7,non-hispanic,white
62,7453,Male,25 to 34 Years,6,non-hispanic,white
63,7454,Female,75 Years & Over,3,non-hispanic,white
64,7455,Female,35 to 44 Years,8,non-hispanic,white
65,7456,Female,35 to 44 Years,7,non-hispanic,white
66,7457,Female,75 Years & Over,4,non-hispanic,white
67,7458,Male,35 to 44 Years,8,non-hispanic,white
68,7459,Female,25 to 34 Years,3,non-hispanic,white
69,7460,Female,25 to 34 Years,4,non-hispanic,asian
70,7461,Female,75 Years & Over,,non-hispanic,white
71,7462,Female,35 to 44 Years,8,non-hispanic,asian
72,7463,Female,75 Years & Over,,non-hispanic,white
73,7464,Female,55 to 64 Years,6,non-hispanic,white
74,7465,Female,65 to 74 Years,2,non-hispanic,white
75,7466,Female,35 to 44 Years,6,non-hispanic,white
76,7467,Female,25 to 34 Years,5,non-hispanic,white
77,7468,Female,18 to 24 Years,2,non-hispanic,white
78,7469,Male,55 to 64 Years,5,non-hispanic,white
79,7470,Female,55 to 64 Years,3,non-hispanic,white
80,7471,Female,45 to 54 Years,8,non-hispanic,white
81,7472,Male,45 to 54 Years,6,,
82,7473,Female,45 to 54 Years,7,non-hispanic,white
83,7474,Male,25 to 34 Years,7,non-hispanic,white
84,7475,Nonbinary,25 to 34 Years,6,non-hispanic,white
85,7476,Male,35 to 44 Years,6,non-hispanic,asian
86,7477,Male,35 to 44 Years,8,non-hispanic,white
87,7478,Female,65 to 74 Years,1,non-hispanic,white
88,7479,Female,65 to 74 Years,3,non-hispanic,white
89,7480,Female,35 to 44 Years,4,hispanic,
90,7481,Female,18 to 24 Years,3,non-hispanic,white
91,7482,Male,35 to 44 Years,8,non-hispanic,white
92,7483,Female,25 to 34 Years,4,non-hispanic,white
93,7484,Female,55 to 64 Years,3,non-hispanic,white
94,7485,Female,25 to 34 Years,8,non-hispanic,white
95,7486,Female,65 to 74 Years,2,hispanic,
96,7487,Female,75 Years & Over,2,non-hispanic,white
97,7488,Female,25 to 34 Years,5,non-hispanic,white
98,7489,Female,55 to 64 Years,6,non-hispanic,white
99,7490,Female,45 to 54 Years,6,non-hispanic,white
100,7491,Female,55 to 64 Years,7,,
