year,q01_happy,q02_satisfied_general,q03_satisfied_somerville,q04_satisfied_neighborhood,q06a_city_services,q06b_cost_housing,q06c_quality_schools,q06d_trust_police,q06e_sidewalks,q06f_events,q09_safe_at_night,q11_beauty,q10_parks,d01_gender,d02_age,d04_race,d05_num_children,d06_housing_status,d07_plan_to_move,d10_how_long_lived_here,d08_hhi,d09_is_student,ward,q05_city_direction,q07_safe_crossing_street,q08_convenient,q12_housing_condition,move_why,d03_english,d03_spanish,d03_portuguese,d03_chinese,d03_other,d04_ethnicity,d04_race_white,d04_race_aa,d04_race_asian,d04_race_other,race_hooks,d08_hhi_buckets,d11_car,d11_walk,d11_bike,d11_public,d12_car,d12_walk,d12_bike,d12_public
2019,10.0,10.0,10.0,10.0,5.0,4.0,4.0,5.0,4.0,4.0,8.0,10.0,10.0,Female,65 to 74 Years,white,0.0,Own,0.0,51.0,"$25,000 to $49,999",0.0,4.0,right,6.0,5.0,9.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2019,7.0,7.0,9.0,8.0,4.0,2.0,,4.0,3.0,5.0,8.0,8.0,9.0,Female,55 to 64 Years,white,0.0,Own,0.0,10.0,"$10,000 to $24,999",0.0,6.0,unsure,9.0,8.0,6.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2019,9.0,9.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,3.0,7.0,6.0,7.0,Male,65 to 74 Years,white,1.0,Own,0.0,20.0,"$50,000 to 74,999",0.0,7.0,wrong,2.0,1.0,9.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2019,10.0,9.0,9.0,8.0,5.0,5.0,5.0,5.0,3.0,4.0,9.0,8.0,8.0,Male,55 to 64 Years,white,0.0,Own,1.0,3.0,"$75,000 to $99,999",0.0,3.0,right,5.0,7.0,9.0,Family reasons,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2019,8.0,8.0,7.0,7.0,5.0,3.0,4.0,5.0,1.0,4.0,9.0,6.0,9.0,Female,55 to 64 Years,asian,0.0,Own,0.0,2.0,"$75,000 to $99,999",0.0,4.0,unsure,7.0,9.0,8.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,asian,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2019,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,Male,65 to 74 Years,white,0.0,Rent,0.0,65.0,"$25,000 to $49,999",0.0,6.0,right,10.0,10.0,10.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2019,9.0,10.0,9.0,9.0,5.0,4.0,4.0,4.0,5.0,4.0,10.0,9.0,9.0,Female,75 Years & Over,white,0.0,Own,0.0,25.0,"$100,000 to $149,999",0.0,7.0,right,10.0,9.0,10.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2019,9.0,9.0,7.0,8.0,5.0,2.0,4.0,4.0,3.0,5.0,9.0,4.0,7.0,Male,45 to 54 Years,white,0.0,Own,0.0,19.0,"$200,000 or more",0.0,6.0,right,7.0,9.0,9.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,8,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2019,9.0,8.0,10.0,8.0,4.0,2.0,,4.0,5.0,4.0,6.0,7.0,8.0,Female,25 to 34 Years,"hispanic/latino, white",0.0,Rent,1.0,4.0,"$100,000 to $149,999",0.0,3.0,right,7.0,7.0,7.0,Pursuing higher education,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,white,6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2019,7.0,8.0,6.0,7.0,4.0,1.0,3.0,4.0,2.0,4.0,7.0,6.0,4.0,Male,65 to 74 Years,white,0.0,Rent,0.0,74.0,"$25,000 to $49,999",0.0,3.0,wrong,5.0,7.0,6.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
