id,move_why,cat1,subcat1,cat2,subcat2
3,Family reasons,Family / Relationship,,,
8,Pursuing higher education,Job / school,,,
14,Easier commute to work,Job / school,,,
20,To get closer to family,Family / Relationship,,,
25,Way too expensive,Cost,General,,
29,Too expensive to live,Cost,Housing,,
32,Closer to nature/things to do,Atmosphere,Nature,,
33,,No Answer,,,
36,"Will need to buy, can't afford",Cost,Housing,,
41,Unaffordable Housing,Cost,Housing,,
42,Affordability & schools,Cost,Housing,School system,
44,High rents,Cost,Housing,,
48,Airplane noise,Atmosphere,Noise,,
51,"Too liberal, too expensive",Political,,Cost,General
53,"Cost of living, space",Cost,General,Atmosphere,Space
57,Employment,Job / school,,,
60,Nature,Atmosphere,Nature,,
61,Cheaper Housing,Cost,Housing,,
67,Cost to buy housing too high,Cost,Housing,,
71,Move to single family,Other,Housing,,
74,"Somerville sucks, too many bikes, taxes too high, water bills too high",Atmosphere,Traffic / bikes,Cost,Taxes
75,Buy a house,Other,Housing,,
77,,No Answer,,,
79,Cost of housing,Cost,Housing,,
81,Too expensive,Cost,General,,
89,Rent too expensive,Cost,Housing,,
90,Too expensive here,Cost,General,,
92,Too expensive/construction,Cost,General,Atmosphere,Construction
93,Rent,Cost,Housing,,
98,It's noisy and crowded,Atmosphere,Noise,Atmosphere,Crowds
103,Touring schedule of a professional musician,Job / school,,,
110,"Can't afford rent, Rent control please.",Cost,Housing,,
111,Rent is excessive. Rent control please.,Cost,Housing,,
114,"Leaving the US/Somerville is too expensive, Union Sq. is unlivable now",Cost,Housing,,
121,I want to move to the West Coast,Other,,,
123,rent is too high,Cost,Housing,,
125,"Really, think about it, city environment isn't family friendly like it was",Atmosphere,Other,,
138,Housing costs to own,Cost,Housing,,
145,Too expensive,Cost,Housing,,
153,Tired of city living,Atmosphere,Other,,
160,Bad traffic patterns/new bike roads,Atmosphere,Traffic / bikes,,
163,Can't afford it,Cost,General,,
165,Trying to buy: can't afford Somerville prices,Cost,Housing,,
