gender,race,eth,age,population_share
Male,race_white,eth_not_hispanic,18 to 24 Years,0.049129430671574804
Female,race_white,eth_not_hispanic,18 to 24 Years,0.049129430671574804
Nonbinary,race_white,eth_not_hispanic,18 to 24 Years,0.010917651260349957
Male,race_white,eth_not_hispanic,25 to 34 Years,0.11478471970127123
Female,race_white,eth_not_hispanic,25 to 34 Years,0.11478471970127123
Nonbinary,race_white,eth_not_hispanic,25 to 34 Years,0.025507715489171384
Male,race_white,eth_not_hispanic,35 to 44 Years,0.04968000808071678
Female,race_white,eth_not_hispanic,35 to 44 Years,0.04968000808071678
Nonbinary,race_white,eth_not_hispanic,35 to 44 Years,0.01104000179571484
Male,race_white,eth_not_hispanic,45 to 54 Years,0.030341510089846684
Female,race_white,eth_not_hispanic,45 to 54 Years,0.030341510089846684
Nonbinary,race_white,eth_not_hispanic,45 to 54 Years,0.006742557797743708
Male,race_white,eth_not_hispanic,65 to 74 Years,0.017806270937521494
Female,race_white,eth_not_hispanic,65 to 74 Years,0.017806270937521494
Nonbinary,race_white,eth_not_hispanic,65 to 74 Years,0.0039569490972269986
Male,race_white,eth_not_hispanic,75 Years & Over,0.01333336299348443
Female,race_white,eth_not_hispanic,75 Years & Over,0.01333336299348443
Nonbinary,race_white,eth_not_hispanic,75 Years & Over,0.0029629695541076514
Male,race_white,eth_not_hispanic,17 Years,0.002185948809164412
Female,race_white,eth_not_hispanic,17 Years,0.002185948809164412
Nonbinary,race_white,eth_not_hispanic,17 Years,0.0004857664020365361
Male,race_white,eth_not_hispanic,55 to 64 Years,0.029667159464695995
Female,race_white,eth_not_hispanic,55 to 64 Years,0.029667159464695995
Nonbinary,race_white,eth_not_hispanic,55 to 64 Years,0.006592702103265777
Male,race_white,eth_hispanic,18 to 24 Years,0.005442404539356989
Female,race_white,eth_hispanic,18 to 24 Years,0.005442404539356989
Nonbinary,race_white,eth_hispanic,18 to 24 Years,0.0012094232309682199
Male,race_white,eth_hispanic,25 to 34 Years,0.012715491936536087
Female,race_white,eth_hispanic,25 to 34 Years,0.012715491936536087
Nonbinary,race_white,eth_hispanic,25 to 34 Years,0.0028256648747857975
Male,race_white,eth_hispanic,35 to 44 Years,0.005503395781262737
Female,race_white,eth_hispanic,35 to 44 Years,0.005503395781262737
Nonbinary,race_white,eth_hispanic,35 to 44 Years,0.0012229768402806083
Male,race_white,eth_hispanic,45 to 54 Years,0.0033611375093639847
Female,race_white,eth_hispanic,45 to 54 Years,0.0033611375093639847
Nonbinary,race_white,eth_hispanic,45 to 54 Years,0.00074691944652533
Male,race_white,eth_hispanic,65 to 74 Years,0.0019725229552773295
Female,race_white,eth_hispanic,65 to 74 Years,0.0019725229552773295
Nonbinary,race_white,eth_hispanic,65 to 74 Years,0.00043833843450607324
Male,race_white,eth_hispanic,75 Years & Over,0.0014770282148337409
Female,race_white,eth_hispanic,75 Years & Over,0.0014770282148337409
Nonbinary,race_white,eth_hispanic,75 Years & Over,0.00032822849218527573
Male,race_white,eth_hispanic,17 Years,0.00024215256637772598
Female,race_white,eth_hispanic,17 Years,0.00024215256637772598
Nonbinary,race_white,eth_hispanic,17 Years,5.3811681417272445e-05
Male,race_white,eth_hispanic,55 to 64 Years,0.0032864350580375586
Female,race_white,eth_hispanic,55 to 64 Years,0.0032864350580375586
Nonbinary,race_white,eth_hispanic,55 to 64 Years,0.0007303189017861242
Male,race_aa,eth_not_hispanic,18 to 24 Years,0.004036620674209811
Female,race_aa,eth_not_hispanic,18 to 24 Years,0.004036620674209811
Nonbinary,race_aa,eth_not_hispanic,18 to 24 Years,0.0008970268164910692
Male,race_aa,eth_not_hispanic,25 to 34 Years,0.009431055200434253
Female,race_aa,eth_not_hispanic,25 to 34 Years,0.009431055200434253
Nonbinary,race_aa,eth_not_hispanic,25 to 34 Years,0.0020957900445409453
Male,race_aa,eth_not_hispanic,35 to 44 Years,0.00408185775760596
Female,race_aa,eth_not_hispanic,35 to 44 Years,0.00408185775760596
Nonbinary,race_aa,eth_not_hispanic,35 to 44 Years,0.0009070795016902134
Male,race_aa,eth_not_hispanic,45 to 54 Years,0.0024929490376993783
Female,race_aa,eth_not_hispanic,45 to 54 Years,0.0024929490376993783
Nonbinary,race_aa,eth_not_hispanic,45 to 54 Years,0.0005539886750443063
Male,race_aa,eth_not_hispanic,65 to 74 Years,0.001463016371540554
Female,race_aa,eth_not_hispanic,65 to 74 Years,0.001463016371540554
Nonbinary,race_aa,eth_not_hispanic,65 to 74 Years,0.0003251147492312343
Male,race_aa,eth_not_hispanic,75 Years & Over,0.0010955089033299814
