id,year,q01_happy,q02_satisfied_general,q03_satisfied_somerville,q04_satisfied_neighborhood,q06a_city_services,q06b_cost_housing,q06c_quality_schools,q06d_trust_police,q06e_sidewalks,q06f_events,q09_safe_at_night,q11_beauty,q10_parks,d01_gender,d02_age,d04_race,d05_num_children,d06_housing_status,d07_plan_to_move,d10_how_long_lived_here,d08_hhi,d09_is_student,d13_ward,q05_city_direction,q07_safe_crossing_street,q08_convenient,q12_housing_condition,move_why,d11_transportation_mode,d12_transportation_month,d03_language,Unnamed: 0,gender,age,hhi,ethnicity,race,f01_how_long_lived_here,f02_housing_status,f03_city_direction,f04_english,f04_spanish,f04_portuguese,f04_chinese,f04_other,f05_num_children,f06_plan_to_move,f07_is_student,f08_car,f08_walk,f08_bike,f08_public,f09_car,f09_walk,f09_bike,f09_public,f10_move_cat1,f10_move_subcat1,f10_move_cat2,f10_move_subcat2,weight
7391,2019,10.0,10.0,10.0,10.0,5.0,4.0,4.0,5.0,4.0,4.0,8.0,10.0,10.0,Female,70.0,White,No,Own,No,51 years,"$25,000 to $49,999",No,4.0,Right direction,6.0,5.0,9.0,,Car,Car,English,0,Female,65 to 74 Years,3.0,non-hispanic,white,51.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,16.696060354262304
7392,2019,7.0,7.0,9.0,8.0,4.0,2.0,,4.0,3.0,5.0,8.0,8.0,9.0,Female,64.0,White,No,Own,No,10 years,"$10,000 to $24,999",No,6.0,Not sure,9.0,8.0,6.0,,"Walk, Car","Walk, Car",English,1,Female,55 to 64 Years,2.0,non-hispanic,white,10.0,Own,unsure,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,62.294687002485546
7393,2019,9.0,9.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,3.0,7.0,6.0,7.0,Male,70.0,White,Yes,Own,No,20 years,"$50,000 to 74,999",No,7.0,Wrong track,2.0,1.0,9.0,,Car,"Walk, Car",English,2,Male,65 to 74 Years,4.0,non-hispanic,white,20.0,Own,wrong,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,28.664828233373203
7394,2019,10.0,9.0,9.0,8.0,5.0,5.0,5.0,5.0,3.0,4.0,9.0,8.0,8.0,Male,58.0,White,No,Own,Yes,3 years,"$75,000 to $99,999",No,3.0,Right direction,5.0,7.0,9.0,Family reasons,Walk,"Walk, Public transit, Car",English,3,Male,55 to 64 Years,5.0,non-hispanic,white,3.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Family / Relationship,,,,56.381059336161385
7395,2019,8.0,8.0,7.0,7.0,5.0,3.0,4.0,5.0,1.0,4.0,9.0,6.0,9.0,Female,58.0,Asian,No,Own,No,2 years,"$75,000 to $99,999",No,4.0,Not sure,7.0,9.0,8.0,,Car,"Walk, Public transit, Car",Chinese,4,Female,55 to 64 Years,5.0,non-hispanic,asian,2.0,Own,unsure,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,26.337524576303835
7396,2019,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,Male,65.0,White,No,Rent,No,65 years,"$25,000 to $49,999",No,6.0,Right direction,10.0,10.0,10.0,,Public transit,Public transit,English,5,Male,65 to 74 Years,3.0,non-hispanic,white,65.0,Rent,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,46.73959511411783
7397,2019,9.0,10.0,9.0,9.0,5.0,4.0,4.0,4.0,5.0,4.0,10.0,9.0,9.0,Female,75.0,White,No,Own,No,25 years,"$100,000 to $149,999",No,7.0,Right direction,10.0,9.0,10.0,,"Bike, Car","Public transit, Car",English,6,Female,75 Years & Over,6.0,non-hispanic,white,25.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,1.350334714157691
7398,2019,9.0,9.0,7.0,8.0,5.0,2.0,4.0,4.0,3.0,5.0,9.0,4.0,7.0,Male,49.0,White,No,Own,No,19 years,"$200,000 or more",No,6.0,Right direction,7.0,9.0,9.0,,Walk,"Walk, Bike, Public transit, Car",English,7,Male,45 to 54 Years,8.0,non-hispanic,white,19.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,59.70073628621488
7399,2019,9.0,8.0,10.0,8.0,4.0,2.0,,4.0,5.0,4.0,6.0,7.0,8.0,Female,26.0,"Hispanic/Latino, White",No,Rent,Yes,4 years,"$100,000 to $149,999",No,3.0,Right direction,7.0,7.0,7.0,Pursuing higher education,"Walk, Public transit","Walk, Public transit, Car",English,8,Female,25 to 34 Years,6.0,hispanic,white,4.0,Rent,right,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,Job / school,,,,54.06072715181232
7400,2019,7.0,8.0,6.0,7.0,4.0,1.0,3.0,4.0,2.0,4.0,7.0,6.0,4.0,Male,74.0,White,No,Rent,No,74 years,"$25,000 to $49,999",No,3.0,Wrong track,5.0,7.0,6.0,,Public transit,"Walk, Public transit",English,9,Male,65 to 74 Years,3.0,non-hispanic,white,74.0,Rent,wrong,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,46.73959511412152
7401,2019,8.0,8.0,7.0,7.0,4.0,2.0,3.0,4.0,4.0,4.0,6.0,5.0,6.0,Female,32.0,White,No,Rent,,6 years,"$50,000 to 74,999",No,1.0,Not sure,9.0,8.0,7.0,"To buy/affordability elsewhere (Respondent wrote ""not sure"")",Car,"Walk, Public transit, Car",English,10,Female,25 to 34 Years,4.0,non-hispanic,white,6.0,Rent,unsure,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,43.27225678688367
7402,2019,7.0,7.0,8.0,8.0,4.0,3.0,3.0,3.0,3.0,4.0,8.0,6.0,6.0,Female,61.0,White,No,Own,No,3 years,"$150,000 to 200,000",No,7.0,Right direction,5.0,9.0,8.0,,Public transit,"Walk, Public transit, Car",English,11,Female,55 to 64 Years,7.0,non-hispanic,white,3.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,22.156729579129472
7403,2019,10.0,10.0,10.0,8.0,5.0,5.0,5.0,5.0,1.0,4.0,10.0,7.0,8.0,Male,55.0,White,Yes,Own,No,33 years,"$200,000 or more",No,4.0,Right direction,10.0,10.0,10.0,,Car,Public transit,"English, Portuguese",12,Male,55 to 64 Years,8.0,non-hispanic,white,33.0,Own,right,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,45.13529377328709
7404,2019,8.0,9.0,7.0,9.0,5.0,3.0,3.0,4.0,3.0,5.0,9.0,9.0,8.0,Female,36.0,White,No,Own,No,7 years,"$200,000 or more",No,5.0,Not sure,6.0,5.0,9.0,,Bike,"Walk, Bike, Public transit, Car",English,13,Female,35 to 44 Years,8.0,non-hispanic,white,7.0,Own,unsure,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,22.39336404409932
7405,2019,8.0,9.0,9.0,9.0,3.0,4.0,4.0,4.0,5.0,5.0,9.0,9.0,10.0,Female,31.0,White,No,Rent,Yes,2 years,,No,6.0,Right direction,9.0,9.0,9.0,Easier commute to work,"Bike, Public transit","Walk, Bike, Public transit, Car",English,14,Female,25 to 34 Years,,non-hispanic,white,2.0,Rent,right,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Job / school,,,,54.06072715181349
7406,2019,8.0,9.0,8.0,8.0,4.0,1.0,2.0,3.0,1.0,2.0,9.0,4.0,4.0,Female,,,No,Own,No,23 years,"$100,000 to $149,999",No,2.0,Not sure,2.0,1.0,8.0,,Public transit,"Walk, Bike, Public transit, Car",,15,Female,75 Years & Over,6.0,,,23.0,Own,unsure,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,1.3503347141570998
7407,2019,2.0,5.0,4.0,8.0,4.0,1.0,4.0,3.0,4.0,3.0,5.0,7.0,5.0,Male,78.0,White,No,Own,No,40 years,"$100,000 to $149,999",No,6.0,Not sure,3.0,4.0,5.0,,Car,"Walk, Public transit, Car",English,16,Male,75 Years & Over,6.0,non-hispanic,white,40.0,Own,unsure,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,31.3938694740129
7408,2019,7.0,10.0,5.0,10.0,4.0,1.0,4.0,1.0,4.0,2.0,10.0,7.0,10.0,Female,35.0,White,No,Rent,,10 years,"$25,000 to $49,999",No,2.0,Wrong track,10.0,10.0,6.0,,Bike,"Walk, Bike, Public transit, Car",English,17,Female,35 to 44 Years,3.0,non-hispanic,white,10.0,Rent,wrong,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,38.718426313425056
7409,2019,9.0,9.0,9.0,9.0,4.0,3.0,3.0,3.0,2.0,4.0,9.0,8.0,9.0,Female,30.0,White,No,Own,No,3 years,"$200,000 or more",No,7.0,Right direction,9.0,7.0,9.0,,Car,"Walk, Public transit, Car",English,18,Female,25 to 34 Years,8.0,non-hispanic,white,3.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,45.02196139830312
7410,2019,8.0,8.0,8.0,8.0,3.0,2.0,3.0,4.0,3.0,3.0,8.0,6.0,6.0,Female,27.0,White,No,Rent,No,6 years,"$75,000 to $99,999",No,2.0,Right direction,10.0,9.0,7.0,,Bike,"Walk, Bike, Public transit, Car",English,19,Female,25 to 34 Years,5.0,non-hispanic,white,6.0,Rent,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,56.26772696117672
7411,2019,6.0,10.0,10.0,10.0,5.0,3.0,,5.0,3.0,5.0,10.0,10.0,10.0,Female,63.0,White,No,Own,Yes,35 years,"$75,000 to $99,999",,2.0,Right direction,10.0,6.0,8.0,To get closer to family,,Car,English,20,Female,55 to 64 Years,5.0,non-hispanic,white,35.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,0.0,0.0,Family / Relationship,,,,26.33752457630506
