ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6057,"2019",3295,722,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.04072627493634588
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6057,"2019",5268,861,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.06511259980718365
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6057,"2019",9617,1200,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.11886633871406323
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6057,"2019",21307,1730,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.26335500457320843
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6057,"2019",7180,1009,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.08874496329073245
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6057,"2019",4438,690,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.054853780930956914
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6057,"2019",2237,523,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.02764937087484241
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6057,"2019",914,334,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.011297060786591847
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6057,"2019",1405,405,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.017365831953130795
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6057,"2019",2922,541,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.03611598645341507
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6057,"2019",2116,438,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.026153808123006946
3,"Foreign Born",0,"Under 5 Years",2019,"2019",64,40,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.0007910414555162782
3,"Foreign Born",1,"5 to 17 Years",2019,"2019",878,302,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.01085209996786394
3,"Foreign Born",2,"18 to 24 Years",2019,"2019",1894,333,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.023409883074184856
3,"Foreign Born",3,"25 to 34 Years",2019,"2019",5587,585,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.06905544706202259
3,"Foreign Born",4,"35 to 44 Years",2019,"2019",4460,494.99999999999994,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.055125701431290634
3,"Foreign Born",5,"45 to 54 Years",2019,"2019",2671,470.99999999999994,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.03301362074506217
3,"Foreign Born",6,"55 to 59 Years",2019,"2019",1184,255,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.014634266927051146
3,"Foreign Born",7,"60 & 61 Years",2019,"2019",632,198,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.007811534373223247
3,"Foreign Born",8,"62 to 64 Years",2019,"2019",579,181,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.007156453167873829
3,"Foreign Born",9,"65 to 74 Years",2019,"2019",1250,326,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.015450028428052308
3,"Foreign Born",10,"75 Years & Over",2019,"2019",1008,193,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.012458902924381381
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6054,"2018",3395,643,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.042208518785588185
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6054,"2018",4891,766,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.06080761866872218
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6054,"2018",9888,1104,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.12293308799761295
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6054,"2018",21384,1603,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.2658577218589154
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6054,"2018",7209,1000,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.08962627744486162
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6054,"2018",4790,810,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.05955193077554268
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6054,"2018",2326,451,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.02891811920332198
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6054,"2018",897,328,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.011152000397841708
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6054,"2018",1322,360,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.016435835591913868
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6054,"2018",3021,547,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.03755874381480469
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6054,"2018",2017,411,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.025076460203396572
3,"Foreign Born",0,"Under 5 Years",2018,"2018",13,18,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.00016162319417161898
3,"Foreign Born",1,"5 to 17 Years",2018,"2018",869,362,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.010803888902702837
3,"Foreign Born",2,"18 to 24 Years",2018,"2018",1683,391,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.020923987368525746
