ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",1314,"Somerville, MA","16000US2562535","somerville-ma",55183,0.6820631349961684
0,"White Alone",1,"Hispanic or Latino",2019,"2019",1152,"Somerville, MA","16000US2562535","somerville-ma",6113,0.075556819024547
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",720,"Somerville, MA","16000US2562535","somerville-ma",4534,0.05604034311423133
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",325,"Somerville, MA","16000US2562535","somerville-ma",451,0.005574370256841273
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",81,"Somerville, MA","16000US2562535","somerville-ma",112,0.0013843225471534867
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",87,"Somerville, MA","16000US2562535","somerville-ma",47,0.0005809210688947667
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",930,"Somerville, MA","16000US2562535","somerville-ma",8246,0.10192074753417546
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",52,"Somerville, MA","16000US2562535","somerville-ma",57,0.0007045212963191853
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",8,"Somerville, MA","16000US2562535","somerville-ma",5,0.00006180011371220923
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",28.999999999999996,"Somerville, MA","16000US2562535","somerville-ma",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",324,"Somerville, MA","16000US2562535","somerville-ma",714,0.008825056238103477
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",690,"Somerville, MA","16000US2562535","somerville-ma",2003,0.024757125553111017
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",499.45970808464625,"Somerville, MA","16000US2562535","somerville-ma",2117,0.02616616814574939
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",684.7262226612912,"Somerville, MA","16000US2562535","somerville-ma",1324,0.016364670110993004
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",1386,"Somerville, MA","16000US2562535","somerville-ma",55986,0.6960489345301738
0,"White Alone",1,"Hispanic or Latino",2018,"2018",917.0000000000001,"Somerville, MA","16000US2562535","somerville-ma",5144,0.06395305467836984
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",841,"Somerville, MA","16000US2562535","somerville-ma",4922,0.0611930278240545
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",373,"Somerville, MA","16000US2562535","somerville-ma",548,0.0068130392620036305
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",64,"Somerville, MA","16000US2562535","somerville-ma",75,0.0009324415048362633
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",48,"Somerville, MA","16000US2562535","somerville-ma",37,0.0004600044757192232
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",955.0000000000001,"Somerville, MA","16000US2562535","somerville-ma",7770,0.09660093990103688
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",62,"Somerville, MA","16000US2562535","somerville-ma",65,0.0008081159708580949
