ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
1,"< $10K",2019,"2019","true","true",17042451,95317.60198287971,835057,"United States","01000US","united-states",0.11556759952992722
2,"$10-20k",2019,"2019","true","true",18892384,99643.37250557024,848357,"United States","01000US","united-states",0.12811229254979842
3,"$20-30k",2019,"2019","true","true",20640639,103441.25040824826,911251,"United States","01000US","united-states",0.13996749070857223
4,"$30-40k",2019,"2019","true","true",19166321,100256.20829823786,875269,"United States","01000US","united-states",0.12996990337774975
5,"$40-50k",2019,"2019","true","true",15446173,91297.53946066824,731539,"United States","01000US","united-states",0.1047429818360032
6,"$50-60k",2019,"2019","true","true",12628591,83427.96438350446,615952,"United States","01000US","united-states",0.08563650541317344
7,"$60-70k",2019,"2019","true","true",9446324,73001.34604451267,465426,"United States","01000US","united-states",0.06405704138811608
8,"$70-80k",2019,"2019","true","true",6957184,63211.69572615693,343645,"United States","01000US","united-states",0.04717778295903666
9,"$80-90k",2019,"2019","true","true",5694805,57446.33400501996,283176,"United States","01000US","united-states",0.03861738805298764
10,"$90-100k",2019,"2019","true","true",3828157,47408.71350722037,192508,"United States","01000US","united-states",0.025959347931449977
11,"$100-110k",2019,"2019","true","true",4097686,49003.2397579554,206456,"United States","01000US","united-states",0.027787067402886438
12,"$110-120k",2019,"2019","true","true",2035049,34781.2106203274,103588,"United States","01000US","united-states",0.013799994370280358
13,"$120-130k",2019,"2019","true","true",2227697,36366.163135774106,113413,"United States","01000US","united-states",0.015106371423336954
14,"$130-140k",2019,"2019","true","true",1324487,28128.040361589312,68152,"United States","01000US","united-states",0.008981559236907573
15,"$140-150k",2019,"2019","true","true",938473,23708.240422006944,48494,"United States","01000US","united-states",0.006363936257387473
16,"$150-160k",2019,"2019","true","true",1151395,26241.26902804472,59690,"United States","01000US","united-states",0.007807794563162339
17,"$160-170k",2019,"2019","true","true",833119,22345.908872593674,43181,"United States","01000US","united-states",0.005649513849432423
18,"$170-180k",2019,"2019","true","true",514213,17574.694217793032,26847,"United States","01000US","united-states",0.003486961004440175
19,"$180-190k",2019,"2019","true","true",535167,17927.921799044932,27834,"United States","01000US","united-states",0.0036290534464574705
20,"$190-200k",2019,"2019","true","true",314971,13764.034395106904,16554,"United States","01000US","united-states",0.0021358689775045096
21,"$200k+",2019,"2019","true","true",3752093,46947.779573723594,201901,"United States","01000US","united-states",0.02544354572138968
1,"< $10K",2019,"2019","true","true",388243,14404.689522872413,20964,"Massachusetts","04000US25",,0.11334503053729286
2,"$10-20k",2019,"2019","true","true",332401,13450.536815643223,15614,"Massachusetts","04000US25",,0.09704232013359336
3,"$20-30k",2019,"2019","true","true",350908,13778.497172693214,15535,"Massachusetts","04000US25",,0.102445318977497
4,"$30-40k",2019,"2019","true","true",362378,13975.729357694447,16709,"Massachusetts","04000US25",,0.10579391122581248
5,"$40-50k",2019,"2019","true","true",321827,13257.474699235197,15185,"Massachusetts","04000US25",,0.09395530928497192
6,"$50-60k",2019,"2019","true","true",294184,12731.64948570847,14412,"Massachusetts","04000US25",,0.08588511438347365
7,"$60-70k",2019,"2019","true","true",251824,11858.82663434593,12445,"Massachusetts","04000US25",,0.07351838660329546
8,"$70-80k",2019,"2019","true","true",202225,10709.721039321212,10279,"Massachusetts","04000US25",,0.05903827963518737
9,"$80-90k",2019,"2019","true","true",174957,10003.587561705706,9047,"Massachusetts","04000US25",,0.05107756355610571
10,"$90-100k",2019,"2019","true","true",125088,8523.230692429357,6500,"Massachusetts","04000US25",,0.03651863183585767
11,"$100-110k",2019,"2019","true","true",134204,8816.140617702877,6969,"Massachusetts","04000US25",,0.039179989022923405
12,"$110-120k",2019,"2019","true","true",69100,6388.345819116603,3607,"Massachusetts","04000US25",,0.020173297677297305
13,"$120-130k",2019,"2019","true","true",74943,6647.166539634506,4003,"Massachusetts","04000US25",,0.021879123702311026
14,"$130-140k",2019,"2019","true","true",47554,5316.5816759877725,2519,"Massachusetts","04000US25",,0.013883082456529609
15,"$140-150k",2019,"2019","true","true",34046,4507.530468551171,1771,"Massachusetts","04000US25",,0.009939509301320752
16,"$150-160k",2019,"2019","true","true",41848,4991.635105455683,2245,"Massachusetts","04000US25",,0.012217252694638749
17,"$160-170k",2019,"2019","true","true",29127,4172.230010737358,1588,"Massachusetts","04000US25",,0.008503439094741513
18,"$170-180k",2019,"2019","true","true",19693,3435.4107006417344,1086,"Massachusetts","04000US25",,0.005749243866266509
19,"$180-190k",2019,"2019","true","true",20111,3471.465893491716,1089,"Massachusetts","04000US25",,0.005871276260320204
20,"$190-200k",2019,"2019","true","true",12187,2705.510320489455,653,"Massachusetts","04000US25",,0.003557915756776009
21,"$200k+",2019,"2019","true","true",138472,8949.421773434717,7930,"Massachusetts","04000US25",,0.04042600399378744
1,"< $10K",2018,"2018","true","true",17555653,96456.22527051755,854123,"United States","01000US","united-states",0.12078716589666996
2,"$10-20k",2018,"2018","true","true",19524788,100935.2301845988,873885,"United States","01000US","united-states",0.13433529400776553
3,"$20-30k",2018,"2018","true","true",21188690,104450.57368287545,940372,"United States","01000US","united-states",0.14578334478148502
4,"$30-40k",2018,"2018","true","true",18402436,98427.33329916793,847441,"United States","01000US","united-states",0.12661323905381655
5,"$40-50k",2018,"2018","true","true",15266406,90749.82635532656,726971,"United States","01000US","united-states",0.10503658930647113
6,"$50-60k",2018,"2018","true","true",12290467,82351.8880370812,599977,"United States","01000US","united-states",0.08456140460719676
7,"$60-70k",2018,"2018","true","true",9341119,72585.46774018482,459137,"United States","01000US","united-states",0.06426917246049098
8,"$70-80k",2018,"2018","true","true",6567931,61481.96855726834,324120,"United States","01000US","united-states",0.045188963993243736
9,"$80-90k",2018,"2018","true","true",5153214,54736.24643369939,256069,"United States","01000US","united-states",0.03545536667414435
